CUST_ID,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE
C17875,16.834929,0.454545,15.0,15.0,0.0,209.025389,0.090909,0.090909,0.0,0.090909,1,1,7500.0,430.213001,86.959785,0.0,11
C16296,540.020858,1.0,612.23,495.61,116.62,1708.923217,0.666667,0.166667,0.5,0.333333,10,10,2000.0,1642.068707,419.956251,0.0,12
C17219,119.237712,1.0,342.74,0.0,342.74,0.0,1.0,0.0,1.0,0.0,0,20,2000.0,327.166041,165.207233,0.0,12
C13108,894.081947,1.0,1901.71,1853.11,48.6,206.61878,0.666667,0.666667,0.416667,0.083333,1,33,1500.0,947.130141,220.745296,0.0,12
C13576,1294.145453,1.0,3059.1,1836.98,1222.12,0.0,1.0,0.416667,1.0,0.0,0,42,7000.0,5560.033502,497.637767,0.083333,12
C14650,32.229139,0.727273,145.85,0.0,145.85,0.0,0.583333,0.0,0.583333,0.0,0,7,1000.0,263.681773,130.725349,0.125,12
C16884,812.839893,0.875,1160.09,932.09,228.0,3129.703318,0.875,0.375,0.5,0.875,8,13,2000.0,4900.523879,197.894736,0.2,8
C12545,1054.905969,1.0,885.44,0.0,885.44,0.0,0.833333,0.0,0.833333,0.0,0,111,1000.0,1057.25415,1613.401207,0.0,12
C12969,600.777518,1.0,760.38,269.53,490.85,0.0,1.0,0.166667,1.0,0.0,0,35,4500.0,829.712416,186.053091,0.0,12
C16584,2184.965504,1.0,0.0,0.0,0.0,2893.023143,0.0,0.0,0.0,0.916667,26,0,8000.0,1730.364781,481.160634,0.0,12
C12915,335.360271,1.0,3237.47,3237.47,0.0,0.0,0.75,0.75,0.0,0.0,0,19,2000.0,3137.11501,124.831219,0.571429,12
C13874,4380.251712,1.0,0.0,0.0,0.0,404.036972,0.0,0.0,0.0,0.333333,3,0,4500.0,776.241676,1326.776456,0.0,9
C11045,1239.889457,1.0,3914.15,2643.0,1271.15,0.0,0.583333,0.25,0.416667,0.0,0,12,9500.0,3980.107176,511.121978,0.083333,12
C13074,212.080181,1.0,618.0,333.0,285.0,0.0,0.5,0.083333,0.333333,0.0,0,7,6000.0,378.383325,169.341588,0.0,12
C15304,90.017392,0.909091,1247.39,427.02,820.37,0.0,0.909091,0.272727,0.818182,0.0,0,25,5000.0,762.863333,115.044143,0.454545,11
C16327,547.484638,0.909091,1225.96,1071.23,154.73,0.0,0.833333,0.666667,0.166667,0.0,0,13,1500.0,400.154087,276.642257,0.0,12
